Month,all sectors million kilowatthours,residential,commercial,industrial 
Apr-24,283762.5493,96236.19008,105932.6165,81058.2933
Feb-24,295279.5444,103974.4864,108266.0079,82428.11455
Jan-24,302542.7793,117715.5986,106394.1463,77915.26721
Dec-23,341010.3875,142838.9215,114842.5238,82723.41953
Nov-23,310959.1519,119052.4793,108918.0438,82426.92228
Oct-23,293487.0642,102427.5222,107050.7238,83460.29819
Sep-23,307874.4427,103767.4504,115378.5578,88163.53998
Aug-23,346128.5494,133320.4021,123663.045,88494.63892
Jul-23,391900.009,162030.7659,135066.8976,94225.77041
Jun-23,386431.8135,160085.137,133160.6429,92565.49865
May-23,327871.9057,121568.0992,117726.63,88009.48413
Apr-23,297794.5195,100479.2697,110403.7377,86393.79161
Feb-23,305855.6089,110791.7621,110070.8439,84425.84209
Jan-23,290581.5974,112543.125,101434.3454,76054.21716
Dec-22,322084.4933,132058.7031,110492.7011,78964.51225
Nov-22,327775.7845,131401.7025,113929.4521,81851.92666
Oct-22,292257.7462,103152.0777,106857.963,81701.39939
Sep-22,297195.9441,99792.19117,111851.3575,85017.015
Aug-22,340543.8407,129241.3183,124195.2752,86549.52268
Jul-22,389626.2823,160271.4669,135675.9526,93143.14117
Jun-22,389214.1747,164276.5779,133951.7114,90419.84289
May-22,347106.3323,136310.2878,121567.1717,88715.71321
Apr-22,284932.8667,97431.84407,104565.8714,82422.10664
Feb-22,304300.0269,111438.5899,108603.1376,83679.08978
Jan-22,305863.0705,125342.3028,103062.6212,76892.52873
Dec-21,338656.0463,140504.0692,113605.0906,83982.00591
Nov-21,307387.1788,117695.5051,106515.5674,82655.23457
Oct-21,287133.8002,100590.9664,103506.0783,82545.23505
Sep-21,302127.4706,103992.2144,112246.4754,85355.96905
Aug-21,336444.0105,131111.3037,118988.6836,85817.13957
Jul-21,381039.3038,157791.7721,131111.1213,91576.36666
Jun-21,373948.2991,154494.5717,127855.734,91052.25211
May-21,338415.3802,132153.4857,119052.6911,86701.60938
Mar-21,272778.6964,93890.87998,98721.37911,79660.85904
Feb-21,295345.0017,114373.9801,102877.2344,77551.52192
Jan-21,299698.0345,126549.5574,98355.67733,74245.26189
Dec-20,321496.4755,136682.3515,104497.6472,79749.53023
Nov-20,315330.302,129760.7583,105456.2039,79491.80083
Oct-20,277249.201,99660.93654,97896.62004,79166.79619
Sep-20,296876.5775,105513.9361,108468.1885,82371.38049
Aug-20,322554.5133,127823.8932,113219.7425,80976.88954
Jul-20,368884.5042,158939.1474,123056.8842,86366.13013
Jun-20,379530.0411,167108.1416,127107.4812,84758.37954
May-20,320055.7239,131538.0506,109592.7199,78444.67875
Mar-20,262400.5618,97759.20304,91405.77238,72791.10205
Feb-20,289893.7803,104254.9427,104109.8433,80930.61592
Jan-20,294659.4049,112122.8819,103014.7688,78902.73171
Dec-19,315532.7897,124442.2113,109812.1956,80608.51254
Nov-19,309822.6908,121078.0766,108001.4757,80094.7451
Oct-19,285532.0415,102452.9221,102840.0136,79624.66409
Sep-19,308241.2055,107997.2082,115304.9027,84396.13735
Aug-19,340462.8012,131566.7267,122059.1507,86160.37695
Jul-19,372574.0872,150083.0557,130776.1738,91061.84215
Jun-19,376094.8207,153748.8891,130951.4526,90752.18668
Apr-19,296801.7362,100331.0713,111200.9527,84661.29301
Mar-19,273899.8377,90383.8218,102445.9396,80459.75842
Feb-19,301852.6932,112605.4151,107468.1998,81092.831
Jan-19,295797.6932,116608.0024,102070.8786,76447.26277
Dec-18,328609.251,133317.5502,112012.3883,82609.75692
Nov-18,312139.711,123180.4037,107998.0827,80306.13626
Oct-18,290507.0998,103789.9565,104983.1121,81118.3574
Sep-18,309113.587,107048.7529,116133.3413,85300.74348
Aug-18,337262.5487,128909.7926,122033.4784,85678.99407
Jul-18,381130.6293,153496.4943,134848.0701,92105.75136
Jun-18,375023.4271,153566.0502,131521.572,89301.35668
Apr-18,303248.0075,103847.999,113175.4826,85637.64704
Mar-18,278467.9877,95453.61577,103331.4796,79083.41885
Feb-18,292732.2857,113751.2802,102685.4488,75661.18887
Jan-18,344477.6874,148917.3837,114925.2592,79889.79117
Dec-17,312215.782,122004.6166,109305.5211,80241.80912
Nov-17,283347.0006,98320.56549,104973.1,79455.59181
Sep-17,299539.479,102811.043,113287.1917,82815.13063
Aug-17,321725.8102,118778.7823,118788.7591,83540.14022
Jul-17,360262.6192,142007.1665,128481.0079,89134.44287
Jun-17,328582.6146,122543.1691,120013.1553,85398.53829
Apr-17,291870.5377,98281.15882,109872.0998,83134.47026
Mar-17,272801.1577,90724.50386,102589.0496,78898.55775
Feb-17,275777.1355,100968.2357,99639.93551,74533.79401
Jan-17,318177.1791,129212.4987,109488.3866,78809.11338
Dec-16,310722.2258,121280.8555,110172.0807,78616.33246
Nov-16,277316.9804,93244.09126,105059.8675,78421.43195
Sep-16,296680.6705,101507.9658,112962.8166,81597.27214
Aug-16,336752.0861,129362.9316,123492.8238,83259.30744
Jul-16,381192.3281,156441.5236,135018.8408,89100.53838
May-16,329877.9052,125211.2395,120363.273,83672.03383
Apr-16,284707.6415,94198.0297,108436.8922,81491.45601
Mar-16,269531.2373,88244.34036,102045.1287,78646.72682
Feb-16,296805.7632,115959.425,103451.6896,76748.45904
Jan-16,320890.1648,130971.8483,110410.4764,78847.86312
Dec-15,297343.5565,111670.4369,106829.4274,78224.38108
Nov-15,275916.5288,92677.74922,104140.2395,78494.66844
Sep-15,296055.3462,99349.04737,112821.4875,83248.83116
Aug-15,332957.8753,125416.6663,122195.4064,84730.4842
Jul-15,362031.7681,144515.1446,128518.9224,88373.07421
May-15,326396.8979,120299.7535,119270.1212,86217.70376
Apr-15,288090.6994,95160.53288,109405.6537,82915.73893
Mar-15,275475.1208,90199.18738,104167.7978,80488.63267
Feb-15,306768.4401,123837.7206,105482.4764,76748.76531
Jan-15,329666.3203,137764.8588,111619.6574,79608.99964
Dec-14,309619.6928,120800.6202,108070.2444,80122.51809
Nov-14,285412.5826,99485.77105,104245.4693,81044.19637
Sep-14,296679.7844,98037.68189,113023.1029,84994.16687
Aug-14,326907.1212,120741.3475,120048.8127,85489.15774
Jul-14,351523.9846,137027.9694,125434.147,88417.10031
May-14,322791.98,118049.0368,118422.5304,85711.096
Apr-14,291420.869,95726.76781,109665.5489,85382.98728
Mar-14,275893.6669,92289.71503,102458.9498,80505.32655
Feb-14,308941.133,128475.358,104352.6425,75413.26442
Jan-14,341238.2723,146511.4423,113865.9249,80148.84693
Dec-13,316474.5348,128966.0608,108762.405,78067.10006
Nov-13,281494.3241,97904.01594,103384.4788,79631.57395
Sep-13,294370.2587,98893.01479,111906.6215,82979.76639
Aug-13,323477.8563,121419.2158,118407.7215,83024.99127
Jun-13,358700.9281,143854.7488,127310.5759,86886.90809
May-13,320200.6614,117982.1063,117410.4129,84169.85683
Apr-13,289398.4331,95191.59812,108682.606,84896.9274
Mar-13,297226.0309,112096.7255,104011.3585,80474.38927
Feb-13,291480.364,113113.8854,101015.6343,76692.04883
Jan-13,320682.9285,131784.8371,107728.7466,80505.47227
Dec-12,297288.1239,114187.6021,104122.3487,78359.60426
Nov-12,278211.9228,97155.23195,101640.7383,78847.34019
Oct-12,290735.4579,96669.43338,110471.01,82995.68967
Aug-12,318089.7077,118831.342,116584.9705,82059.90033
Jun-12,370962.7008,154579.071,128535.3075,87219.18043
May-12,325159.8693,122934.1314,118009.3915,83619.0094
Apr-12,296968.169,100895.1174,110800.4471,84677.64946
Mar-12,283731.2068,99361.68572,102474.423,81298.24301
Feb-12,286982.9245,107975.3574,100080.1237,78298.27379
Jan-12,310975.3842,125881.4834,105239.3102,79204.65598
Dec-11,301844.1973,116341.0231,104866.0787,79981.58371
Nov-11,275235.1639,93220.49602,100552.4199,80872.4358
Oct-11,288132.8882,94585.12049,108649.5638,84281.7274
Sep-11,326247.2217,122719.4987,117951.3117,84942.79578
Aug-11,372719.8281,153738.7326,129368.4782,88987.35194
Jun-11,370691.9132,154728.9198,128065.4332,87247.10363
May-11,328707.3319,125982.7852,118170.1739,83911.56382
Apr-11,287992.7478,97689.09798,107624.5346,82060.54846
Mar-11,292051.8589,104922.123,104257.0581,82209.08469
Feb-11,296903.498,120109.9691,99795.53835,76361.23172
Jan-11,334115.6532,145061.6878,108250.6331,80092.87514
Dec-10,319047.6951,130013.8842,108026.307,80313.27654
Nov-10,274900.0686,93166.13873,101518.9362,79613.8808
Oct-10,287839.7957,96688.03347,108460.8032,82080.65341
Sep-10,327742.3364,124582.732,119136.7231,83389.71461
Jul-10,371769.3141,154053.431,129166.3266,87927.06843
Jun-10,369017.7193,154688.7137,127923.9646,85743.80969
May-10,330893.2009,127495.969,119384.9999,83359.7068
Apr-10,267052.1291,88046.43494,99790.36122,78620.38762
Mar-10,292511.3508,111789.9855,101751.3559,78319.08909
Feb-10,298459.728,122840.199,100746.978,74190.72741
Jan-10,331878.763,147499.8756,108120.5056,75548.90308
Dec-09,310291.0496,124013.2312,108477.6412,77114.70448
Nov-09,268157.8538,93027.97812,98901.26048,75638.71671
Oct-09,287116.3085,98552.02288,108513.6471,79450.79424
Sep-09,310563.3062,115163.3817,114900.229,79863.39097
Jul-09,344845.1952,138222.6783,123776.7333,82199.24951
Jun-09,337878.0715,137497.9589,121323.0295,78390.88288
May-09,275275.9768,94312.17694,105211.8107,75150.83707
Apr-09,265463.6461,91631.16242,99804.15979,73415.09341
Mar-09,283807.8262,106501.3612,102458.0941,74171.16102
Feb-09,286251.463,115212.2334,99010.67533,71358.00943
Jan-09,321623.9671,136228.783,109643.1645,74983.03633
Dec-08,308916.1287,125195.4905,107185.8825,75868.67965
Nov-08,278330.4098,95766.49248,102414.6884,79538.65519
Oct-08,291762.0743,96110.5902,110849.7133,84164.27206
